LABEL,X(m),Y(m),rotor diameter(m)
T1,41369790.86,3585490.929,130
T2,41370736.07,3585394.625,130
T3,41371711.05,3585293.718,130
T4,41372656.28,3585196.056,130
T5,41373601.27,3585099.718,172
T6,41374546.53,3585002.234,172
T7,41375442.18,3584909.459,172
T8,41376177.26,3584834.453,172
T9,41376912.61,3584759.189,172
T10,41377647.95,3584682.746,172
T11,41378383.06,3584607.593,172
T12,41379118.42,3584531.259,172
T13,41370387.26,3584437.448,172
T14,41372981.42,3584026.934,172
T15,41373926.52,3583930.322,172
T16,41374981.69,3583810.248,172
T17,41375877.19,3583717.519,172
T18,41376880.38,3583599.211,172
T19,41377826.18,3583511.896,130
T20,41378527.68,3583439.938,130
T21,41379228.91,3583367.416,130
T22,41379930.43,3583295.557,130
T23,41380631.69,3583223.75,130
T24,41381333.21,3583151.065,130
T25,41370761.29,3583183.497,130
T26,41371519.04,3583113.719,130
T27,41372285.8,3583032.174,130
T28,41373060.08,3582944.432,130
T29,41375597.19,3582684.462,130
T30,41376442.92,3582598.564,130
T31,41377288.66,3582511.814,130
T33,41379031.91,3582336.057,220
T34,41379877.43,3582250.145,220
T35,41380723.2,3582163.068,220
T36,41381568.99,3582076.371,220
T37,41382413.08,3581977.441,220
T38,41383260.09,3581903.506,220
T32,41371203.63,3584420.192,130
